Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER2,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
C1,C0805,1,CL21A226MAQNNNE,C45783
"C10, C4, C5, C6",0603,4,4.7uF,
"C11, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22, C23, C24, C3, C38, C39, C40, C44, C46, C47, C48, C56, C58, C59, C61, C62, C64, C66, C67, C68, C71, C9",0603,32,100nF,
"C15, C42, C45, C63, C71CERAMIC1",0805,5,10uF,
C27,0603,1,10nF,
"C41, C52, C65",0603,3,1uF,
C43,0805,1,22uF,
"C55, C69",0603,2,10uF,
"C7, C8",0603,2,33pF,
"D1, D2, D3, D4",D_SMA,4,SS14,
D6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2687116,C2687116
FLASH1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
L1,1210,1,3.3uH,
L2,L0805,1,MPZ2012S601AT000,C21519
L5,1210,1,2.2uH,
"LED1, LED2, LED3, LED4, STATUS1",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,5,SK6812MINI-E_C5149201,C5149201
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,
Q7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
"R10, R19, R9",0603,3,470ohm,
"R11, R20, R22, R24",0603,4,4.7kohm,
"R12, R13, R21, R23, R27",0603,5,100ohm,
"R14, R15, R28, R37, R43",0603,5,100kohm,
"R17, R18, R29, R30, R31, R32, R33, R42",0603,8,10kohm,
"R25, R26",0603,2,220kohm,
"R3, R7, R8",0603,3,1kohm,
R36,0603,1,820kohm,
"R38, R41",0603,2,5.1kohm,
"R39, R40",0603,2,27ohm,
R6,0603,1,33ohm,
RP2350,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
SW1,SW-TH_MSK12C02,1,MSK12C02,C431540
"SW2, SW3",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPACE010,C139797
TP34,TestPoint_Pad_1.0x1.0mm,1,ESP32_EN,
TP35,TestPoint_Pad_1.0x1.0mm,1,RP2350_RUN,
TP36,TestPoint_Pad_1.0x1.0mm,1,ESP32_BOOT,
TP37,TestPoint_Pad_1.0x1.0mm,1,RP2350_SWDIO,
TP38,TestPoint_Pad_1.0x1.0mm,1,ESP32_RX,
TP39,TestPoint_Pad_1.0x1.0mm,1,RP2350_SWCLK,
TP40,TestPoint_Pad_1.0x1.0mm,1,ESP32_TX,
TP41,TestPoint_Pad_1.0x1.0mm,1,ESP32_+3.3v,
TP42,TestPoint_Pad_1.0x1.0mm,1,ESP32_GND,
TP43,TestPoint_Pad_1.0x1.0mm,1,RP2350_GND,
TP44,TestPoint_Pad_1.0x1.0mm,1,RP2350_+3.3V,
U1,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSRTR,C784817
U12,SOT-23-5,1,AP2112K-3.3,
U2,WIRELM-SMD_BU03,1,BU03,C42419011
U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC1T45DBVR,C7843
U5,LGA-10_L2.0-W2.0-P0.50-TL_BMP581,1,BMP581,C5362283
U6,WIFIM-SMD_61P-L13.2-W12.5-P0.80,1,ESP32-C3-MINI-1U-N4,C2911374
USB2,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
