Designator,Mid X,Mid Y,Rotation,Layer
BUZZER2,34.7,-65.25,0.0,top
C10,50.0,-60.271554,270.0,top
C11,47.0,-60.271554,270.0,top
C12,50.0,-57.046554,270.0,top
C13,47.047703,-57.0,270.0,top
C14,43.994259,-56.443116,270.0,top
C15,37.475,-53.0,180.0,top
C16,41.0,-56.1,270.0,top
C17,38.0,-56.05,270.0,top
C18,34.5,-56.05,270.0,top
C19,31.5,-55.825,270.0,top
C20,31.5,-59.05,90.0,top
C21,34.5,-59.275,90.0,top
C22,38.0,-59.325,90.0,top
C23,41.0,-59.6,90.0,top
C24,44.0,-59.55,90.0,top
C26,40.5,-25.0,0.0,top
C3,52.903835,-35.794681,0.0,top
C38,34.5,-51.0,270.0,top
C39,37.5,-49.5,0.0,top
C4,42.5,-33.0,0.0,top
C40,37.7,-43.493384,0.0,top
C41,37.691138,-40.482198,180.0,top
C42,59.0,-57.0,180.0,top
C43,68.0,-63.0,0.0,top
C44,71.0,-60.5,0.0,top
C45,69.5,-58.5,0.0,top
C46,84.275,-21.5,0.0,top
C47,21.5,-85.5,180.0,top
C48,78.775,-84.5,0.0,top
C49,79.51,-30.75,180.0,top
C5,46.0,-34.5,0.0,top
C50,41.5,-68.5,180.0,top
C51,59.5,-47.5,180.0,top
C52,68.542835,-38.180723,180.0,top
C53,59.5,-44.5,180.0,top
C54,58.180902,-41.489611,0.0,top
C55,61.5,-41.0,180.0,top
C56,58.180902,-38.489611,0.0,top
C57,61.5,-38.0,0.0,top
C58,60.0,-35.0,0.0,top
C59,54.5,-41.5,0.0,top
C6,52.5,-32.5,180.0,top
C60,72.0,-44.0,0.0,top
C61,74.725,-40.5,180.0,top
C62,26.242668,-42.495906,0.0,top
C63,26.330062,-38.846484,180.0,top
C64,34.601169,-36.167422,270.0,top
C65,59.0,-50.5,0.0,top
C66,54.0,-64.0,0.0,top
C67,68.5,-66.5,0.0,top
C68,37.725,-46.493384,0.0,top
C7,54.0,-45.0,180.0,top
C71,64.5,-63.0,180.0,top
C71C,54.0,-71.5,0.0,top
C72,54.0,-68.5,180.0,top
C8,54.5,-48.0,0.0,top
C9,30.125907,-46.482823,0.0,top
D1,17.5,-21.5,270.0,top
D2,77.981577,-15.234712,180.0,top
D3,19.0625,-77.05,90.0,top
D4,83.0,-76.5,90.0,top
ESP32,64.575,-45.425,90.0,top
FLASH1,47.5,-40.0,270.0,top
J1,45.23,-64.0,90.0,top
J3,51.5,-78.55,0.0,bottom
J4,13.505,-10.5,270.0,top
J5,85.747208,-10.5,270.0,top
J6,14.73,-89.5,270.0,top
J7,86.005,-89.5,270.0,top
JP1,73.5,-49.0,180.0,top
L1,56.275,-34.0,270.0,top
L5,53.999011,-59.810216,0.0,top
L6,68.703227,-41.407983,180.0,top
L7,57.0,-46.0,0.0,top
L8,72.21,-42.5,0.0,top
LED1,15.0,-15.0,0.0,bottom
LED2,85.0,-15.0,0.0,bottom
LED3,85.0,-85.0,0.0,bottom
LED4,15.0,-85.0,0.0,bottom
Q1,21.5,-22.5,0.0,top
Q2,79.55625,-22.0,180.0,top
Q3,23.5,-77.5,180.0,top
Q4,77.5,-75.5,180.0,top
Q7,58.846736,-70.191135,90.0,top
R10,34.5,-40.5,0.0,top
R11,26.0,-20.5,180.0,top
R12,26.0,-23.5,180.0,top
R13,75.55625,-24.0,0.0,top
R14,68.270605,-50.534712,180.0,top
R15,68.21285,-53.465768,0.0,top
R16,60.0,-31.5,0.0,top
R17,62.5,-56.0,180.0,top
R18,66.0,-56.5,180.0,top
R19,60.0,-66.5,0.0,top
R20,75.55625,-21.0,0.0,top
R21,28.0625,-76.55,180.0,top
R22,28.0625,-79.55,180.0,top
R23,73.175,-74.5,0.0,top
R24,73.213073,-77.572768,0.0,top
R25,64.5,-60.0,0.0,top
R26,64.5,-65.5,180.0,top
R27,29.7,-65.75,270.0,top
R28,64.5,-71.5,180.0,top
R29,27.5,-45.0,90.0,top
R3,41.0,-41.0,180.0,top
R30,34.096205,-43.777934,0.0,top
R31,40.716327,-53.824738,0.0,top
R32,44.0,-28.5,0.0,top
R33,56.5,-28.5,180.0,top
R34,61.0,-28.5,0.0,top
R35,40.5,-28.5,180.0,top
R6,49.5,-34.5,180.0,top
R7,53.5,-56.0,180.0,top
R8,33.575907,-46.482823,0.0,top
R9,23.325,-15.0,0.0,top
RP2350,47.5,-49.05,90.0,top
STATUS1,30.5,-40.5,270.0,top
SW1,23.097365,-52.463391,270.0,top
SW2,30.5,-50.5,90.0,top
SW3,39.5,-36.0,180.0,top
SW4,74.01,-29.75,0.0,top
SW5,66.0,-33.5,0.0,top
U1,41.0,-50.0,90.0,top
U12,63.5,-51.95,180.0,top
U3,59.0,-53.5,0.0,top
U4,59.5,-62.0,0.0,top
U5,41.5,-45.0,270.0,top
USB1,50.25,-25.03,180.0,top
Y1,54.6,-52.0,0.0,top
Y3,65.0,-39.5,270.0,top
